Metric,Value
route__drc_errors,0
route__wirelength,1578118
route__vias,290326
route__vias__singlecut,290326
route__vias__multicut,0
design__instance__count__class:antenna_cell,36
design__instance__area__class:antenna_cell,195.955
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1873.9
design__instance__count__class:fill_cell,90240
design__instance__area__class:fill_cell,883814
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,226
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,226
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,226
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,226
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_typ_1p20V_25C,1.18366
design_powergrid__drop__average__net:VDD__corner:nom_typ_1p20V_25C,1.19849
design_powergrid__drop__worst__net:VDD__corner:nom_typ_1p20V_25C,0.0163367
design_powergrid__voltage__worst__net:VSS__corner:nom_typ_1p20V_25C,0.0104516
design_powergrid__drop__average__net:VSS__corner:nom_typ_1p20V_25C,0.00144443
design_powergrid__drop__worst__net:VSS__corner:nom_typ_1p20V_25C,0.0104516
design_powergrid__voltage__worst,0.0104516
design_powergrid__voltage__worst__net:VDD,1.18366
design_powergrid__drop__worst,0.0163367
design_powergrid__drop__worst__net:VDD,0.0163367
design_powergrid__voltage__worst__net:VSS,0.0104516
design_powergrid__drop__worst__net:VSS,0.0104516
ir__voltage__worst,1.1799999999999999378275106209912337362766265869140625
ir__drop__avg,0.001510000000000000057454041524351850966922938823699951171875
ir__drop__worst,0.0162999999999999985178522621254160185344517230987548828125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
